,Season,Year,Major,Course,Section,Start,End,Building,Room_Number
245,FALL,2024,ISYE,6780,1,2024-12-17 15:00:00,2024-12-17 18:00:00,LOW,3051
246,FALL,2024,ISYE,6900,1,2024-12-16 15:00:00,2024-12-16 18:00:00,LALLY,02
247,FALL,2024,MANE,2710,1,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,308
248,FALL,2024,MANE,2710,1,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,308
249,FALL,2024,MANE,2710,1,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,330
250,FALL,2024,MANE,2710,2,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,330
251,FALL,2024,MANE,2720,1,2024-12-19 11:30:00,2024-12-19 14:30:00,SAGE,3303
252,FALL,2024,MANE,2960,1,2024-12-13 08:00:00,2024-12-13 11:00:00,LOW,4040
253,FALL,2024,MANE,4030,1,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,318
254,FALL,2024,MANE,4030,2,2024-12-13 15:00:00,2024-12-13 18:00:00,DCC,318
255,FALL,2024,MANE,4060,1,2024-12-16 15:00:00,2024-12-16 18:00:00,ACADEMY,AUD
256,FALL,2024,MANE,4070,1,2024-12-17 11:30:00,2024-12-17 14:30:00,DCC,324
257,FALL,2024,MANE,4090,1,2024-12-18 11:30:00,2024-12-18 14:30:00,SAGE,3510
258,FALL,2024,MANE,4250,1,2024-12-17 15:00:00,2024-12-17 18:00:00,DCC,324
259,FALL,2024,MANE,4250,2,2024-12-17 15:00:00,2024-12-17 18:00:00,DCC,324
260,FALL,2024,MANE,4260,1,2024-12-19 08:00:00,2024-12-19 11:00:00,JEC,3232
261,FALL,2024,MANE,4260,2,2024-12-19 11:30:00,2024-12-19 14:30:00,JEC,3232
262,FALL,2024,MANE,4260,3,2024-12-19 15:00:00,2024-12-19 18:00:00,JEC,3232
263,FALL,2024,MANE,4260,4,2024-12-19 18:30:00,2024-12-19 21:30:00,JEC,3232
264,FALL,2024,MANE,4290,1,2024-12-17 15:00:00,2024-12-17 18:00:00,PITTS,5114
265,FALL,2024,MANE,4500,1,2024-12-18 08:00:00,2024-12-18 11:00:00,SAGE,3303
266,FALL,2024,MANE,4500,2,2024-12-18 08:00:00,2024-12-18 11:00:00,SAGE,3303
267,FALL,2024,MANE,4560,1,2024-12-17 08:00:00,2024-12-17 11:00:00,WEST,220
268,FALL,2024,MANE,4610,1,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3232
269,FALL,2024,MANE,4610,2,2024-12-13 11:30:00,2024-12-13 14:30:00,JEC,3232
270,FALL,2024,MANE,4900,1,2024-12-13 15:00:00,2024-12-13 18:00:00,ACADEMY,AUD
271,FALL,2024,MANE,4910,,2024-12-13 08:00:00,2024-12-13 11:00:00,WALKER,5113
272,FALL,2024,MANE,4910,,2024-12-13 08:00:00,2024-12-13 11:00:00,WALKER,6113
273,FALL,2024,MANE,4964,1,2024-12-13 18:30:00,2024-12-13 21:30:00,LOW,3116
274,FALL,2024,MANE,4965,1,2024-12-18 18:30:00,2024-12-18 21:30:00,SAGE,3101
275,FALL,2024,MANE,6120,1,2024-12-17 08:00:00,2024-12-17 11:00:00,WEST,220
276,FALL,2024,MANE,6170,1,2024-12-13 15:00:00,2024-12-13 18:00:00,PITTS,5114
277,FALL,2024,MANE,6290,1,2024-12-17 15:00:00,2024-12-17 18:00:00,PITTS,5114
278,FALL,2024,MANE,6660,,2024-12-13 11:30:00,2024-12-13 14:30:00,LOW,3112
279,FALL,2024,MANE,6730,1,2024-12-16 11:30:00,2024-12-16 14:30:00,VCC,208
280,FALL,2024,MANE,6963,1,2024-12-13 18:30:00,2024-12-13 21:30:00,LOW,3116
281,FALL,2024,MANE,6965,1,2024-12-18 18:30:00,2024-12-18 21:30:00,SAGE,3101
282,FALL,2024,MANE,6966,1,2024-12-18 11:30:00,2024-12-18 14:30:00,LOW,3116
283,FALL,2024,MATH,1010,1,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
284,FALL,2024,MATH,1010,2,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
285,FALL,2024,MATH,1010,3,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
286,FALL,2024,MATH,1010,4,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
287,FALL,2024,MATH,1010,5,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
288,FALL,2024,MATH,1010,6,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
289,FALL,2024,MATH,1010,7,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
290,FALL,2024,MATH,1010,8,2024-12-17 18:30:00,2024-12-17 21:30:00,DCC,308
291,FALL,2024,MATH,1010,9,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
292,FALL,2024,MATH,1010,10,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
293,FALL,2024,MATH,1010,11,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
294,FALL,2024,MATH,1010,12,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
295,FALL,2024,MATH,1010,13,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
296,FALL,2024,MATH,1010,14,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
297,FALL,2024,MATH,1010,15,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
298,FALL,2024,MATH,1010,16,2024-12-18 18:30:00,2024-12-18 21:30:00,DCC,308
299,FALL,2024,MATH,1010,17,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
300,FALL,2024,MATH,1010,18,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
301,FALL,2024,MATH,1010,19,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
302,FALL,2024,MATH,1010,20,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
303,FALL,2024,MATH,1010,21,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
304,FALL,2024,MATH,1010,22,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
305,FALL,2024,MATH,1010,23,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
306,FALL,2024,MATH,1010,24,2024-12-19 15:00:00,2024-12-19 18:00:00,SAGE,3303
