ECONOMICS,ECON 4570,2,TROY 2015,Tuesday,2-May,11:30AM-2:30PM
ECONOMICS,ECON 6110,2,LOW 3039,Wednesday,3-May,11:30AM-2:30PM
ECONOMICS,ECON 6340,1,LOW 3045,Monday,1-May,11:30AM-2:30PM
ECONOMICS,ECON 6360,1,SAGE 4112,Wednesday,3-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 1010,1,ACADEMY AUD,Wednesday,3-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2010,(ALL SECTIONS),DCC 308,Friday,5-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2050,(ALL SECTIONS),ACADEMY AUD,Wednesday,3-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2100,1,LOW 3051,Tuesday,2-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2110,1,SAGE 5510,Wednesday,3-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2210,1,EATON 216,Tuesday,2-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2410,1,ACADEMY AUD,Tuesday,2-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2500,1,ACADEMY AUD,Thursday,4-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2610,(ALL SECTIONS),SAGE 5101,Wednesday,3-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 2660,1,JEC 5119,Wednesday,3-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4050,1,LOW 3039,Tuesday,2-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4110,1,ONLINE,Wednesday,3-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4141,1,JEC 4309,Friday,5-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4220,1,TROY 2012,Thursday,4-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4760,1,GREENE 120,Wednesday,3-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4850,1,LOW 3051,Thursday,4-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4900,1,JEC 3232,Friday,5-May,8:00AM-11:00AM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4900,2,JEC 3232,Friday,5-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4900,3,JEC 3232,Friday,5-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4900,4,JEC 3232,Friday,5-May,6:30PM-9:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 4961,1,ACADEMY AUD,Thursday,4-May,8:00AM-11:00AM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6050,1,LOW 3039,Tuesday,2-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6110,1,ONLINE,Wednesday,3-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6141,1,JEC 4309,Friday,5-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6300,1,LOW 4034,Friday,5-May,3:00PM-6:00PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6850,1,LOW 3051,Thursday,4-May,11:30AM-2:30PM
ELECTRICAL & COMPUTER SYSTEMS ENG.,ECSE 6961,1,ACADEMY AUD,Thursday,4-May,8:00AM-11:00AM
ENGINEERING,ENGR 1100,(ALL SECTIONS),DCC 308,Wednesday,3-May,8:00AM-11:00AM
ENGINEERING,ENGR 1600,(ALL SECTIONS),WEST 220,Monday,1-May,8:00AM-11:00AM
ENGINEERING,ENGR 2050,(ALL SECTIONS),DCC 318,Friday,5-May,6:30PM-9:30PM
ENGINEERING,ENGR 2090,(ALL SECTIONS),DCC 330,Tuesday,2-May,11:30AM-2:30PM
ENGINEERING,ENGR 2250,1,SAGE 3101,Thursday,4-May,11:30AM-2:30PM
ENGINEERING,ENGR 2300,(ALL SECTIONS),DCC 318,Monday,1-May,11:30AM-2:30PM
ENGINEERING,ENGR 2530,(ALL SECTIONS),DCC 318,Monday,1-May,3:00PM-6:00PM
