course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
INTRO TO COMPLEX VARIABLES,LEC,4,MR,1:30,3:35PM,Holmes/Stevenson,60,0,60,MATH,2020-05-26,2020-08-21,SUMMER 2020,15687,4300,01
ADVANCED CALCULUS,LEC,4,MR,8:00,10:05AM,Boudjelkha,40,0,40,MATH,2020-05-26,2020-08-21,SUMMER 2020,15683,4600,01
NUMERICAL COMPUTING,LEC,4,TF,8:00,10:05AM,Zerbetto T,30,0,30,MATH,2020-05-26,2020-08-21,SUMMER 2020,15684,4800,01
MANAGERIAL FINANCE,LEC,4,MR,1:00,3:05PM,Mistry,30,0,30,MGMT,2020-05-26,2020-08-21,SUMMER 2020,15644,2320,01
MANAGERIAL FINANCE,LEC,4,MR,10:30,12:35PM,Mistry,30,0,30,MGMT,2020-05-26,2020-08-21,SUMMER 2020,15645,2320,02
MATERIALS LABORATORY SKILLS,LAB,1,M,1:30,5:30PM,Lewis,12,0,12,MTLE,2020-05-26,2020-08-21,SUMMER 2020,15416,2500,01
MATERIALS LABORATORY SKILLS,LAB,1,T,1:30,5:30PM,Lewis,12,0,12,MTLE,2020-05-26,2020-08-21,SUMMER 2020,15663,2500,02
MECH PROPERTIES OF MATERIALS,LEC,4,MR,10:30,12:35PM,Ozisik,12,0,12,MTLE,2020-05-26,2020-08-21,SUMMER 2020,15312,4250,01
MECH PROPERTIES OF MATERIALS,LAB,4,R,1:30,5:30PM,Ozisik,12,0,12,MTLE,2020-05-26,2020-08-21,SUMMER 2020,15312,4250,01
MECH PROPERTIES OF MATERIALS,LEC,4,MR,10:30,12:35PM,Ozisik,12,0,12,MTLE,2020-05-26,2020-08-21,SUMMER 2020,15525,4250,02
QUANTUM PHYSICS II,LEC,4,TF,3:45,5:50PM,Georg,30,0,30,PHYS,2020-05-26,2020-08-21,SUMMER 2020,15713,2220,01
EXPERIMENTAL PHYSICS,LAB,4,M,2:00,6:20PM,Michael,10,0,10,PHYS,2020-05-26,2020-08-21,SUMMER 2020,15445,2350,01
EXPERIMENTAL PHYSICS,LAB,4,R,2:00,6:20PM,Persans,10,0,10,PHYS,2020-05-26,2020-08-21,SUMMER 2020,15446,2350,02
SOCIAL PSYCHOLOGY,LEC,4,TF,8:00,10:05AM,VerWys,20,0,20,PSYC,2020-05-26,2020-08-21,SUMMER 2020,15136,2730,01
BEHAVIORAL NEUROSCIENCE,LEC,4,MR,1:30,3:35PM,Walf,19,0,19,PSYC,2020-05-26,2020-08-21,SUMMER 2020,15328,4320,01
PERSONALITY,LEC,4,MR,8:00,10:05AM,VerWys,20,0,20,PSYC,2020-05-26,2020-08-21,SUMMER 2020,15137,4400,01
COGNITION & THE BRAIN,LEC,4,MR,10:30,12:35PM,Walf,19,0,19,PSYC,2020-05-26,2020-08-21,SUMMER 2020,15477,4600,01
ABNORMAL PSYCHOLOGY,LEC,4,TF,10:30,12:35PM,Anderson,70,0,70,PSYC,2020-05-26,2020-08-21,SUMMER 2020,15461,4720,01
AMERICAN HISTORY,LEC,4,TF,8:00,10:05AM,Staff,75,0,75,STSH,2020-05-26,2020-08-21,SUMMER 2020,15708,2500,01
AFRICAN AMERICAN HISTORY,LEC,4,TF,10:30,12:35PM,Staff,40,0,40,STSH,2020-05-26,2020-08-21,SUMMER 2020,15697,2960,01
DESIGN & INNOVATION STUDIO A,STU,4,MR,1:00,4:05PM,Costelloe-,25,0,25,STSH,2020-05-26,2020-08-21,SUMMER 2020,15735,4600,01
GRASSROOTS SCIENCE,STU,4,MR,1:00,4:05PM,Schaffer,19,0,19,STSH,2020-05-26,2020-08-21,SUMMER 2020,15458,4961,01
GENDER & RACE IN CULTURE,LEC,1,W,7:00,9:50PM,Costelloe-,30,0,30,STSH,2020-05-26,2020-08-21,SUMMER 2020,15716,4963,01
GENDER & SUSTAINABILITY,LEC,4,TF,2:00,4:05PM,Costelloe-,19,0,19,STSH,2020-05-26,2020-08-21,SUMMER 2020,15717,4964,01
SOCIOLOGY,LEC,4,MR,8:00,10:05AM,Stanford,50,0,50,STSS,2020-05-26,2020-08-21,SUMMER 2020,15510,2520,01
SPEECH COMMUNICATION,LEC,4,MR,1:30,3:35PM,Gipson,19,0,19,WRIT,2020-05-26,2020-08-21,SUMMER 2020,15524,2340,01
DIGITAL CONSTRUCTS I,LEC,2,F,10:00,11:50AM,Hower,20,0,20,ARCH,2020-05-26,2020-07-10,SUMMER 2020,15268,2520,01
ARCHITECTURAL DESIGN STUDIO 1,LEC,5,MTWR,2:00,5:50PM,Staff,20,0,20,ARCH,2020-05-26,2020-07-10,SUMMER 2020,15269,2800,01
SOUND RECORDING & PROD I,STU,4,MR,10:30,12:35PM,Rice,6,0,6,ARTS,2020-05-26,2020-07-10,SUMMER 2020,15669,2700,01
SOUND RECORDING & PROD I,LEC,4,TF,10:30,12:35PM,Rice,6,0,6,ARTS,2020-05-26,2020-07-10,SUMMER 2020,15669,2700,01
SOUND RECORDING & PROD I,STU,4,MR,10:30,12:35PM,Rice,6,0,6,ARTS,2020-05-26,2020-07-10,SUMMER 2020,15670,2700,02
SOUND RECORDING & PROD I,LEC,4,TF,10:30,12:35PM,Rice,6,0,6,ARTS,2020-05-26,2020-07-10,SUMMER 2020,15670,2700,02
INTRODUCTION TO BIOLOGY,LEC,3,TRF,10:30,12:35PM,Ramanath/Shablovsky,32,0,32,BIOL,2020-05-26,2020-07-10,SUMMER 2020,15232,1010,01
INTRODUCTION TO BIOLOGY LAB,LAB,1,TF,1:15,3:50PM,Ramanath/Shablovsky,32,0,32,BIOL,2020-05-26,2020-07-10,SUMMER 2020,15233,1015,01
BIOSTATISTICS,LEC,4,MTR,1:30,4:50PM,Lister,16,0,16,BIOL,2020-05-26,2020-07-10,SUMMER 2020,15340,4200,01
